count	reward_sum	squared_reward_sum	length
354	-39.47885881722101	17.27690543655652	2000
355	-88.44283440330747	10006.45915574075	242
356	-76.01787636283694	10006.898881586834	172
357	-71.28530841412861	10007.089150826012	230
358	-86.30012517896539	10003.96533030631	118
359	-93.41449520794134	10004.658753563976	219
360	-77.3892441514782	10006.260980172312	170
361	-25.886343444183566	10016.623073292742	612
362	-25.509226911952336	26.05887374275447	2000
363	7.27510342952786	10025.376937624123	616
364	-76.43678171426393	10005.957408520959	184
365	-90.02640673095381	13.476441021491667	2000
366	-88.87741520128783	10002.892971468833	259
367	35.4842679803989	10043.669908917847	701
368	-37.47284505689475	19.18998397612487	2000
369	-45.72153223918122	10015.021299514785	304
370	-76.60192595721142	10.185574052584334	2000
371	25.42844765726352	10031.826799882241	645
372	-29.166356051117745	10015.096269126903	471
373	-21.92581355204554	10029.611622920109	590
374	-46.77019722623587	10015.2385367139	282
375	-108.10117624113903	10011.99985800291	501
376	-15.371232726200859	10024.411109400125	483
377	-79.51412174676216	10006.270721160876	136
378	-90.68533875047126	10005.993060487943	231
379	-95.43828016070339	10006.459758769035	235
380	-59.74787031437503	10011.06557950614	240
381	-62.512375160844925	10020.40385595685	473
382	-71.34463149654448	10008.872225677569	257
383	15.194044966204109	32.09235334418632	2000
384	-7.471631525086641	28.19170741150598	2000
385	-118.2052239763357	10015.221535057774	871
386	-67.22229788679107	10008.13343233443	434
387	-37.13376338073169	10022.105650008527	396
388	-59.15384329058524	10011.630825998722	285
389	-68.51619384859337	10009.660407678419	273
390	-65.63835811852042	10017.076940505076	498
391	-19.52695814184227	10039.616415874485	966
392	-15.083990400201458	10025.511053335626	420
393	-86.05778514357824	13.215310567143447	2000
394	-77.8984369187882	10005.81587504918	167
395	-33.15167039134053	10019.76486490307	319
396	-23.98888027285615	10026.78745485305	410
397	-48.2304913548628	10016.316240240913	369
398	-66.50038894907635	10011.988131812468	187
399	-56.205685871888875	10014.232919341293	301
400	91.0769962999201	10060.496537509685	760
401	-59.19075103604265	10017.122025615668	454
402	-108.1812209736116	10013.597318907881	463
403	-47.27963245833665	10018.487763658297	367
404	69.1308258952475	43.10964846003303	2000
405	-94.48542487655698	13.257657500818903	2000
406	-8.239352260692485	10024.426355234253	488
407	-42.79928273659991	10016.58142713179	341
408	-8.021225324177422	10029.777828807673	561
409	-97.46080375982153	10005.224028828321	220
410	-91.950925451741	10005.27662737612	228
411	15.044776064208492	10033.993486158028	508
412	-98.54312335236939	10026.652340306746	810
413	-77.74932821695077	10008.730607004307	132
414	-73.09340732291187	10008.414184219859	159
415	-49.431074227404906	10013.986220620167	260
416	3.6137268403619345	10029.188868345173	510
417	32.11959748146313	10041.913830025625	569
418	-69.76912867970424	10009.053352328958	160
419	-69.21593932503134	10009.64979537456	154
420	-41.109391663240125	10016.444744011116	276
421	-11.30307704650528	10025.4401156773	393
422	-20.05550187909887	10024.44265102056	381
423	-54.45065819377839	10015.630167367275	197
424	-76.19748016395457	12.76624585404434	2000
425	-17.09702843754019	21.063908278761733	2000
426	-35.25335123701841	10022.131211428585	321
427	-47.24996269041327	10013.898093311596	367
428	135.09647106109207	10090.197204610482	776
429	-45.39227740655679	10022.329003941675	349
430	-46.9339960516265	10019.058854421126	489
431	-72.20232226036535	10009.601278286216	157
432	37.02597824490962	10042.8068437166	619
433	-36.30497410579731	10029.894506158797	501
434	-23.049576109629157	10025.529200441912	294
435	-54.391199425194245	10013.589758547916	213
436	-75.99873845643569	10007.58967928333	156
437	-69.0966044452574	10009.740336924777	161
438	-89.8278543778734	10004.913363146872	148
439	-36.0868819336552	10019.110971169875	329
440	-63.018394361652305	10011.14788276275	194
441	159.3749766500472	10097.332509478641	959
442	42.907572013594205	10047.614537757023	515
443	-69.61795440705617	10013.520023593854	170
444	94.40455397693495	10067.029980576786	762
445	-66.46397355453198	10009.566193497014	203
446	-51.73814906100273	10016.313204677135	231
447	-65.7558507222748	10011.100165558417	159
448	-89.28650195442823	10005.073774184937	200
449	-55.61015785857748	10021.83648373769	325
450	-65.31578081146074	10011.458318926218	188
451	58.60198854882583	10066.227554024154	485
452	-66.30895647336982	11.08577442957634	2000
453	-76.81583550925407	10007.51081530546	145
454	-92.2507463773042	10004.935104813634	174
455	-58.10325515464615	10013.306493524493	197
456	-7.766096038037702	10029.282485746377	427
457	-17.358943763660278	10026.752677285329	344
458	-76.44933649460722	10007.334442388448	142
459	-97.81312001076884	10007.286560542041	318
460	-94.59819812815712	10014.265576318969	693
461	-44.89340922386599	10020.925759335514	236
462	-50.99101791479693	10026.288078711706	431
463	-73.9499513659842	10009.616384133229	195
464	-72.00058561717238	10007.984666224975	156
465	11.981499176218065	10042.57727000844	401
466	-55.541128760734104	10014.59607292927	206
467	138.6091411112203	10090.82868611273	870
468	132.75496342318917	10096.224917939564	746
469	-24.46044588223961	10024.662500037237	313
470	-54.70554911305609	10015.439554736316	208
471	-29.835954685854645	10026.004036829247	260
472	-58.51066462978446	10016.15737686451	213
473	-72.14216628627744	10007.045477144384	184
474	53.273766357492434	10060.439227533343	512
475	-20.225227627764994	10031.82779731748	303
476	-6.936581033629288	34.541457423617864	2000
477	-90.65263386443925	10004.598255257777	131
478	187.09250915726142	10115.53517070031	857
479	35.048186833029575	10049.887204651955	512
480	-38.450662346718076	10021.83957753557	249
481	-89.0677958421472	10004.717136916228	120
482	-89.98593801327718	10004.543772264315	129
483	-27.032457298625275	10022.673299156431	304
484	-72.51422002065813	10010.95456342343	242
485	-55.08182319841958	10013.2925108071	226
486	-73.89817158858888	10011.007009440606	300
487	-96.74127868516234	10006.959502732498	311
488	-49.50941430788869	10019.700956337416	195
489	-58.48539428256841	10014.426689204822	177
490	-72.37909494672324	10008.00083413119	172
491	-49.83159576213817	10014.821211620678	246
492	127.2916512366624	10088.817204414478	714
493	-72.40864858517482	10008.47173944991	150
494	-76.78791757249172	10007.567736037803	144
495	33.575500366302606	10049.881375258194	442
496	-59.319085795200905	10012.656191522123	226
497	-57.242931495198036	10014.685843927717	177
498	53.93305917509022	10051.317830025922	568
499	16.16640439548017	10038.185300580082	461
500	-6.516597709216541	10030.890939185925	374
501	-41.02786738271315	10021.837839900933	240
502	-1.5089639333594107	10039.709088319712	322
503	311.91391951379205	122.7381836382844	930
504	-73.67818726350647	10.719718215758418	2000
505	-9.746250910704006	10031.143306625925	363
506	-45.60306123753603	10021.194505119733	314
507	-98.70500137894507	10007.669278268522	283
508	-69.89024736591823	10010.960610066018	217
509	68.25256916112869	10077.541801540076	938
510	15.875087646688371	10043.158217723714	384
511	-83.11217731599297	10005.156104608333	124
512	-78.24129016337699	10006.975787566564	122
513	38.47328455927007	10052.015946676116	473
514	10.500465031304316	10038.315295319713	392
515	-13.940487792772657	10031.594803124084	299
516	-75.51770164628708	10009.91322977696	134
517	-77.94509893596506	10007.571074247859	116
518	-44.44659475557134	10016.948078536103	286
519	-83.5381204977371	10004.281005162857	140
520	-32.40118126562126	10021.534640377611	275
521	74.30377991748338	10071.267975479253	511
522	-64.2211181826718	10012.516635040967	182
523	-45.04604126555089	10017.994323815328	236
524	-21.648452078314236	10032.03783549153	266
525	-116.50209588529174	10010.894059418953	238
526	-36.88944462695922	10022.625391165206	240
527	-11.598522699645514	10030.660215222131	330
528	-85.3216971671908	10004.480196127875	140
529	-73.05537364324745	10007.969361709944	141
530	-44.634606655315025	10019.352755800757	234
531	-81.03807471806013	10007.392663880517	116
532	-55.05417533710643	10016.995730235261	217
533	-73.48716269838266	10008.96910305481	168
534	-90.22546213397858	10004.96923960579	184
535	-37.177737821350796	10021.467669380256	238
536	-42.865467182977866	10019.11820205881	268
537	-86.36025170480738	10004.641300573288	137
538	-110.4437673409759	10010.494833610644	616
539	-67.74234184282597	10010.586330073358	153
540	-72.26939404321485	12.302839855916512	2000
541	-63.84683735086826	10011.439380464151	172
542	-93.33233521359088	10005.979027755417	193
543	-86.41840660650921	10004.832023423687	146
544	-57.78649594755394	10012.273726782927	211
545	-31.669107460644895	10021.702953136819	299
546	-81.80858621369126	10009.535620427047	129
547	-63.28979946012422	10012.03814484876	168
548	-69.97116590415537	10013.926875200103	214
549	-48.488545085056046	10019.399390524057	279
550	-37.701175752250386	9.501559914213464	2000
551	-132.1504419634867	10012.033094945065	959
552	-92.59264047547957	10005.221303993536	209
553	-100.75857245757933	10009.80404294088	372
554	-42.351878171071526	10020.46103384348	236
555	-68.10484465158308	10010.767647968672	145
556	39.51178409120354	10057.950648943346	439
557	-71.7172892809603	10011.110547062159	254
558	-24.067607880652403	10025.266782498078	303
559	79.51259646141176	10067.68772648243	612
560	-68.68645367260531	10008.741940292553	214
561	-68.90012989741896	10010.39188912285	147
562	-84.17699521271835	10005.87161630514	195
563	-0.0109293200731031	10035.01927197528	360
564	-43.362360783148844	10020.90210340854	224
565	-23.507550654377155	10028.950789678654	282
566	-70.39419925864591	32.073096934770376	2000
567	-37.982979142459	10021.041417680299	282
568	-15.939795455557118	10031.45406675033	287
