count	reward_sum	squared_reward_sum	length
106	-114.66891665125809	10006.025325132172	94
107	-117.83804957359938	10007.937858053441	43
108	-123.06498581082653	10013.834738527947	41
109	-120.59529425730898	10007.929910055815	88
110	-120.4244566185591	10009.579923903737	46
111	-122.30730036290983	10011.274801420846	46
112	-126.82568696889233	10010.003291010054	123
113	-119.1616483996115	10008.10402719628	77
114	-119.48019745707893	10008.557970544227	100
115	-109.57670813094607	10002.560917103288	99
116	-97.63551161943784	10008.226863699283	204
117	-112.82745327587635	10011.278413201635	209
118	-131.0373542917371	10008.854659329083	213
119	164.72338143258276	54.079583038781145	2000
120	-93.88588479291593	10003.190279230656	93
121	-60.37810366715458	10011.90606141664	312
122	18.137526206458404	10037.407564193249	837
123	-75.35770465820949	10010.250139197911	195
124	-101.93692584031548	10005.830220695178	156
125	-79.10858138812532	10008.646831351587	174
126	-125.8186330300773	10008.163058060498	123
127	-101.58504670171001	10008.211825969029	210
128	-81.04807974528302	10006.894291887964	188
129	-81.29312569618567	10009.208229539672	168
130	-73.63072249706946	10011.228933156306	195
131	-72.57180171101443	10017.118518440819	472
132	-54.33262919189227	10015.237718546103	256
133	-84.82618139397172	10006.163868283222	166
134	-10.894005250156894	10026.33658698517	586
135	-84.03616554123862	10006.5117047103	142
136	-43.26642393450236	10016.358093255725	403
137	5.807998060979031	10027.388104205309	669
138	-56.58612693943396	10011.75255592158	421
139	-51.245143886207615	10011.843499635208	367
140	-82.26181135770022	10005.303049490141	142
141	-64.8631414234525	10008.274152751339	278
142	-89.31283446652353	10003.160030850422	234
143	4.243385291854125	10027.356011937129	542
144	-50.74822768037146	10013.493815321686	402
145	-72.64815359712148	10007.167427885614	257
146	-83.86903632853569	10005.192198810191	158
147	-84.55331377984452	10004.177393067466	162
148	-91.0172545756816	10002.889245610106	137
149	-87.04251393298932	10004.058031789687	168
150	-20.32487062788698	10017.764862143042	520
151	-79.01317025852772	10005.073870453421	187
152	-97.92648621305761	10001.020757392542	91
153	-103.88454666491839	10002.569519499802	109
154	-91.0632962066381	10002.837724825586	119
155	-96.45265762242133	10001.173623082934	106
156	-95.06150386652398	10001.42647475866	99
157	-94.5377123534397	10001.423368691141	109
158	-47.480175883336415	10012.203709902393	390
159	-95.94267572218212	10001.247567645896	94
160	-87.51775429625492	10002.953818737202	113
161	-90.56789891612206	10006.173457908362	255
162	-61.73813079471421	10009.65703715813	341
163	-37.69204020628939	10017.886748085824	397
164	-79.29011278390729	10006.307699189056	193
165	-72.56371110760162	10015.599376379565	645
166	-25.053360104953683	10017.545433192228	509
167	25.319696413479107	10027.337166623602	882
168	-121.70512704911798	10008.332123705299	82
169	101.86227889234993	10049.976218412774	1194
170	-19.457233203553727	10020.188996924766	535
171	-55.412191890421255	10013.981348958925	376
172	-115.21724348585747	10004.819282479466	145
173	-37.371046015035674	10018.286508868108	430
174	0.5788961531870488	31.28494200896824	2000
175	-21.489442083272934	10027.377704471457	398
176	-103.31079984212144	10020.031927755748	268
177	-98.30188559624553	10004.240023186238	87
178	-95.04206749914921	10004.109464007099	81
179	22.65068038680867	35.175818923965004	2000
180	45.29020165441614	10044.455729358884	707
181	-58.67609403293775	10012.31784230964	230
182	83.99430615136009	10052.154805008191	991
183	-7.942259375127463	10025.91100573528	487
184	302.3131539830844	89.40181350432977	1239
185	155.77949857414592	10083.187936768689	1016
186	301.76686015992897	85.64123143329623	1264
187	86.97063038883172	10061.589423175863	719
188	30.11067353660883	10037.707598062807	576
189	303.29832962350264	90.78641900450258	1229
190	-94.48017772648426	10002.685443772874	92
191	-78.94028467417698	10006.943998028408	140
192	38.91173736812712	10044.19623171226	560
193	3.2302601421758084	10034.23744079689	428
194	-56.96542274899672	10014.524026348705	209
195	17.903141105167478	10035.3812600246	526
196	-29.332732520658936	10022.52053948516	323
197	-30.379134272282144	10024.831309163015	299
198	-71.54281872946278	10011.265883803486	162
199	-18.56039455220629	10026.590713466705	385
200	-37.585608140260064	10020.445727943435	297
201	-6.4348882584383915	10034.627072918242	354
202	161.54058272885072	10086.14228137378	1017
203	-65.64827608952649	10014.372968426544	173
204	116.20783862070354	10075.407561108274	742
205	-83.29867869052524	10006.80322791452	124
206	-129.41254829825215	10010.0259615561	121
207	-24.8507956184704	10022.54571463928	368
208	3.4057357516336424	10036.873000815911	419
209	141.0619831267609	10081.833792846746	891
210	-30.096863903274894	10023.023000279676	331
211	-46.341400316495765	10017.952427372435	261
212	-88.93258623958775	10004.765677045341	108
213	307.11806768356837	99.41187489885102	1150
214	41.639419142131544	10052.989207149209	489
215	113.51770539838995	10062.889697596727	908
216	-83.77518662853214	10005.89887339088	126
217	-94.71565686640702	10002.30973316464	81
218	-94.0966916464724	10003.279597259665	90
219	23.80230606336187	10038.934469208436	546
220	-96.517948483902	10003.129521796749	102
221	100.8754923672825	10068.461757994219	740
222	-86.69199164868701	10006.086040507875	118
223	-10.097415602343162	10031.305960207095	377
224	-33.219623197220926	10024.518113342248	257
225	-98.07915208466164	10002.612760827149	84
226	81.19315851053528	10061.033173333317	677
227	-36.48751420832653	10020.68280119057	303
228	63.40616046432481	10051.305344208498	627
229	15.06364655819155	10031.52024747931	567
230	174.1279392147194	10078.524727437036	1209
231	31.661656503422904	10039.340552394679	551
232	-58.01769438204237	10011.29113208708	280
233	304.4276113903494	88.46987046605088	1283
234	307.9505140129085	92.55089124213723	1190
235	308.2393549439557	94.4699346144363	1188
236	309.2137762218225	96.0466686706394	1162
237	302.4227550879302	100.90781973438003	1244
238	309.93947248448677	100.59742083356271	1130
239	127.21506931970089	10075.397108888932	832
240	-89.20401226570985	10004.244011101058	94
241	10.048400262385229	10038.185106274896	429
242	96.34910536955769	10066.69126696283	717
243	104.37078676182585	10072.324325865418	714
244	312.6685350336716	109.58803503581174	1007
245	-14.266728124148045	10028.763030718508	351
246	310.8915963485374	108.10228252642159	1038
247	310.99214974216613	108.20981170626457	1035
248	122.37687242936181	10076.390231248419	803
249	312.142547605623	112.76344547619135	1008
250	311.3141710202765	106.03778433870079	1061
251	-101.7849551837653	10001.459755116455	92
252	22.485941692314753	10045.61862795909	429
253	157.72333754997612	10092.206525331507	834
254	130.0594014095618	10081.796044550283	762
255	82.92515743704308	10071.409074718136	586
256	310.7559459990474	109.63751184193973	1050
257	312.08758443376377	113.4792263679993	1018
258	312.1123762656116	112.90382442768319	1031
259	-77.272908035217	10010.380897745777	121
260	-92.16557872599084	10005.338553707037	92
261	68.51250582251629	10059.184929440678	602
262	-91.79865387672261	10004.782680913315	82
263	17.83070626205614	10043.375868900124	397
264	5.758132404595358	10040.282373496004	382
265	-34.81067505155687	10024.065361088356	277
266	-70.3212622009539	10014.528863821806	146
267	25.37067315214631	10046.584225042898	450
268	-90.67312504259576	10004.705347382534	93
269	6.974679369281773	10038.711847194174	400
270	-1.6425462470119356	10035.652793463329	372
271	-14.9453370654538	10030.9488195362	350
272	-2.2047541239304707	10036.541435682548	377
273	314.4480667643343	113.63587325056929	987
274	-10.127775814042906	10031.614523587392	344
275	314.52369385887823	114.30791251519594	1005
276	6.066076723534792	10040.540173454212	366
277	4.800718970962109	10039.25026745532	351
278	49.408454465249775	10053.854937992855	501
279	132.8386497542572	10085.094165297372	755
280	-43.608414942543135	10020.938204502661	218
281	11.736414399335501	10042.352993101962	384
282	314.42216575001396	112.70801011944745	1009
283	316.174657229184	113.47809715546548	991
284	98.22856881350359	10071.295601102613	651
285	111.2979543729391	10076.809704173273	700
286	317.64507616490476	118.621435260359	968
287	2.703191026203413	10038.706758876242	337
288	-36.34624553720143	10023.048073250171	237
289	124.87174066694615	10084.803364070727	707
290	317.21924561377153	118.11352443919239	958
291	318.02563529788125	118.11271777116717	987
292	60.93579696188044	10062.280468599258	507
293	318.3593325295506	119.7474483218404	947
294	318.12370845043637	117.26963153851892	974
295	317.94991227469365	118.44051948544967	948
296	321.04138646516026	123.42517939350985	932
297	318.67846324461186	120.0353821198383	942
298	-95.4621836527499	10003.220629148864	66
299	319.7118660615181	121.8870073532828	938
300	318.9501848623101	122.55762260670998	941
301	319.9023764781105	124.90345902688524	912
302	41.374183021804356	10053.603249080677	442
303	318.3882304508999	122.02977026719756	933
304	320.00556327798057	124.07602233374348	922
305	33.82906958850242	10053.080325706005	415
306	320.4173760086996	127.35451768046833	899
307	318.5220853697442	122.71545031375604	927
308	317.1423217190752	122.06984012766044	942
309	317.78951095153536	120.176230979184	947
310	318.1841532743356	126.0785190138934	910
311	316.1841681827171	122.82066375675464	935
312	318.5934566989983	126.9281254971636	910
313	317.7553266913358	123.0686484445772	945
314	318.5536816537121	123.7358892939989	935
315	318.1437024045661	125.71378541103972	909
316	319.4572656767149	125.42947146667227	930
317	319.46944584452905	128.6528319918938	906
318	318.35621034165024	125.84185732261409	908
319	320.8513930606786	126.23445782647974	923
320	320.672644685885	127.32827326904031	905
321	319.76475336844857	130.1579784654347	898
322	319.38361090513155	127.80915120949449	922
323	320.7952359372724	129.10669018056524	902
324	320.75349113452626	128.7988423988431	907
325	319.9990136446363	128.9541785628051	895
326	318.2029405417455	129.94577024441435	906
327	319.8022022408631	131.09368015376202	877
328	318.7686129974573	129.26825036125922	908
329	319.9807780273618	129.2937580710836	880
330	321.6577888087772	133.6424951014139	858
331	321.5178972343162	133.35056048014127	868
332	321.9043421206034	131.6524323806573	873
333	319.2020139340604	130.3716758088257	885
334	321.3864820840424	136.44668676095452	841
335	321.66053429178197	131.9607927574759	881
336	321.62484205200286	132.91601497177572	860
337	320.9508509660736	132.08628392479739	877
338	321.5827287156334	135.29392411277325	850
339	321.65599449963963	134.47045781121713	856
340	320.11404504088387	131.19775273833244	885
341	321.8688839978128	133.73941208630976	866
342	322.32269113906034	135.9286167935714	852
343	320.16209728828443	133.44055204226376	853
344	320.9639370237289	131.7991393372609	875
345	320.79729920178517	133.66852158531438	866
346	-84.6178805377079	10005.21368277528	96
347	320.37909139803395	133.35293739558423	856
348	321.96264593700454	134.2646314829043	866
349	322.33741898787775	136.54828894995492	850
350	322.3376570453977	137.16865522413076	849
351	319.559615716914	133.95292136456007	856
352	322.07738399168676	138.02432972653665	833
353	322.3678990549134	135.30912793981128	862
354	323.555952897296	138.96721985680713	840
355	321.2637340378288	134.97347805751684	860
356	321.0262636349029	135.98794889292734	844
357	321.73958222445526	136.94812303060132	842
358	322.8034310743657	137.62382806237372	850
359	323.19730592750955	139.98784199906294	831
360	320.76055142726426	137.55112916338646	855
361	322.0095712687868	136.57800534487816	838
362	321.8553033978186	134.74301375778012	862
363	323.4467536533416	139.624250241401	836
364	-105.12167259178746	10001.542693766089	46
365	321.6534247362912	135.74816928054994	856
366	-121.93040909471873	9.475847184979704	2000
367	-79.28003941325849	6.874991137961259	2000
